,study_id,max_trials,evalution_metric
309,model_20210907-221233-cbea0563f7,15,mean_absolute_error
310,model_20210906-200532-95568efa06,15,mean_absolute_error
311,model_20210906-194347-a50afa1bf2,15,mean_absolute_error
312,model_20210906-192534-be91feae0a,15,mean_absolute_error
313,model_20210906-190308-7eccfdfe13,15,mean_absolute_error
314,model_20210906-182718-6c3806a62f,15,mean_absolute_error
315,model_20210906-170101-d11e18c1de,15,mean_absolute_error
316,model_20210906-162443-ba22e4f7de,15,mean_absolute_error
317,model_20210906-162056-f33223ccae,15,mean_absolute_error
318,model_20210906-130254-4267bffc3d,15,mean_absolute_error
319,model_20210906-110911-2575b6cbde,15,mean_absolute_error
320,model_20210906-105221-1200dc0f72,15,mean_absolute_error
321,model_20210906-104938-b68d7461d3,15,mean_absolute_error
322,model_20210906-104829-3eff05c051,15,mean_absolute_error
323,model_20210906-104535-7d6e023ba1,15,mean_absolute_error
324,model_20210906-104307-24f66de79f,15,mean_absolute_error
325,model_20210906-104137-76b68cd3f6,15,mean_absolute_error
326,model_20210906-073809-afddc44e60,15,mean_absolute_error
327,model_20210906-073427-e7ae359aed,15,mean_absolute_error
328,model_20210906-073021-466b3123d4,15,mean_absolute_error
329,model_20210906-072634-11de7ef622,15,mean_absolute_error
330,model_20210906-071337-f82f313068,15,mean_absolute_error
331,model_20210906-070049-126e852d83,15,mean_absolute_error
332,model_20210906-065705-0c62c1f14f,15,mean_absolute_error
333,model_20210906-064834-1f0d8f5031,15,mean_absolute_error
334,model_20210903-164902-41873099d4,15,mean_absolute_error
335,model_20210903-164420-46493a402c,15,mean_absolute_error
336,model_20210903-163126-e598bcaa98,15,mean_absolute_error
337,model_20210903-162652-22ba6aefe8,15,mean_absolute_error
338,model_20210903-133625-0ec56405c7,15,mean_absolute_error
339,model_20210903-130724-15e355783a,15,mean_absolute_error
340,model_20210903-130327-6277cad564,15,mean_absolute_error
341,model_20210903-130312-a567fc78e4,15,mean_absolute_error
342,model_20210903-125809-a617a16b98,15,mean_absolute_error
343,model_20210903-125529-26ff2d2fe1,15,mean_absolute_error
344,model_20210903-125112-f38a6c2e4b,15,mean_absolute_error
345,model_20210903-125043-790e9220f2,15,mean_absolute_error
346,model_20210902-173540-a11697fde0,15,mean_absolute_error
347,model_20210902-173538-2eaff3dc15,15,mean_absolute_error
348,model_20210902-172514-63d6f10954,15,mean_absolute_error
349,model_20210902-172443-dd9f09a53e,15,mean_absolute_error
350,model_20210902-172402-17168da802,15,mean_absolute_error
351,model_20210901-200440-0917792135,15,mean_absolute_error
352,model_20210901-164859-bcd39010ef,15,mean_absolute_error
353,model_20210901-164842-db1f2ed2ef,15,mean_absolute_error
354,model_20210901-164606-7401531204,15,mean_absolute_error
